AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,REG_FEE,COMMIS,SALES_PRICE,NULL
Karapakkam,1004,131,1,1,3,Yes,380000,144400,7600000,1
Anna Nagar,1986,26,2,1,5,No,760122,304049,21717770,1
Adyar,909,70,1,1,3,Yes,421094,92114,13159200,1
Velachery,1855,14,3,2,5,No,356321,77042,9630290,1
Karapakkam,1226,84,1,1,3,Yes,237000,74063,7406250,1
Chrompet,1220,36,2,1,4,No,409027,198316,12394750,1
Chrompet,1167,137,1,1,3,No,263152,33955,8488790,1
Velachery,1847,176,3,2,5,No,604809,235204,16800250,1
Chrompet,771,175,1,1,2,No,257578,33236,8308970,1
Velachery,1635,74,2,1,4,No,323346,121255,8083650,1
Chrompet,1203,78,2,1,4,Yes,403326,119504,14938000,1
Chrompet,1054,143,1,1,3,No,245693,141746,9449730,1
Chrompet,1196,137,1,1,3,No,289554,35097,8774370,1
Adyar,1056,83,1,1,3,Yes,319141,37546,9386490,1
Velachery,1865,157,3,2,5,No,619987,294494,15499680,1
Velachery,1868,148,3,2,5,No,597135,188569,15714080,1
Karapakkam,1639,175,2,2,4,Yes,285648,77904,8656000,1
Chrompet,796,134,1,1,2,Yes,316464,130951,10912550,1
Adyar,1136,69,1,1,3,Yes,323214,49725,8287550,1
Anna Nagar,1902,168,2,1,5,Yes,742113,212032,21203240,1
Chrompet,1069,53,1,1,3,Yes,283544,43622,10905530,1
Chrompet,931,96,1,1,3,Yes,248021,27558,9185970,1
KK Nagar,2010,114,3,2,5,No,327762,262210,10925400,1
Chrompet,1074,100,1,1,3,No,288821,86646,9627380,1
TNagar,1972,111,2,1,5,No,487297,167073,13922760,1
T Nagar,1685,105,1,1,4,No,352830,176415,12601080,1
Adyar,1130,29,1,1,3,Yes,468417,53533,13383350,1
Karapakkam,1301,59,1,1,3,Yes,357283,71457,7939625,1
Adyar,730,185,1,1,2,Yes,265449,53090,8848285,1
T Nagar,1806,138,2,1,5,No,430852,113382,11338200,1
Anna Nagar,1981,173,2,1,5,No,373300,218831,12872430,1
Adyar,868,15,1,1,3,No,325514,72336,9042050,1
T Nagar,1721,117,1,1,4,Yes,416483,223116,14874380,1
Velachery,1755,16,2,1,4,Yes,306671,173780,10222380,1
Anna Nagar,1709,130,1,1,4,No,452501,90500,12928590,1
KK Nagar,2114,46,3,2,5,Yes,632334,281037,17564820,1
Karapakkam,1226,180,1,1,3,No,154109,114339,4971250,1
Velachery,1648,111,2,1,4,Yes,275120,82536,9170660,1
Chrompet,856,36,1,1,3,Yes,332269,103834,10383420,1
Adyar,904,52,1,1,3,No,348042,23203,11601400,1
Chrompet,1198,105,1,1,3,No,255727,98991,8249260,1
Karapakkam,931,16,1,1,3,No,291669,166668,6944500,1
Karapakkam,1290,86,1,1,3,Yes,364015,92940,7745000,1
Karapakkam,507,49,1,1,2,Yes,252032,74464,5728000,1
KK Nagar,2492,113,4,2,6,No,917550,224706,18725520,1
Karapakkam,851,105,1,1,2,No,167896,39295,3572250,1
T Nagar,1882,189,2,1,5,Yes,433393,272877,16051580,1
Anna Nagar,1710,15,1,1,4,Yes,808639,161728,20215970,1
Karapakkam,1412,28,2,2,4,No,251370,192717,8379000,1
Adyar,779,51,1,1,2,No,190463,31744,5290635,1
T Nagar,1655,19,1,1,4,No,376468,238430,12548930,1
